#	Country Name	Country Code	Series Name	Series 																																								
#	World	WLD	Population, total	SP.POP.TOTL																																								
#	World	WLD	Energy use (kg of oil equivalent per capita)	EG.USE.PCAP.KG.OE																																								
#	Sub-Saharan Africa	SSF	Population, total	SP.POP.TOTL																																								
#	Sub-Saharan Africa	SSF	Energy use (kg of oil equivalent per capita)	EG.USE.PCAP.KG.OE																																								
#	South Asia	SAS	Population, total	SP.POP.TOTL																																								
#	South Asia	SAS	Energy use (kg of oil equivalent per capita)	EG.USE.PCAP.KG.OE																																								
#	North America	NAC	Population, total	SP.POP.TOTL																																								
#	North America	NAC	Energy use (kg of oil equivalent per capita)	EG.USE.PCAP.KG.OE																																								
#	Middle East & North Africa	MEA	Population, total	SP.POP.TOTL																																								
#	Middle East & North Africa	MEA	Energy use (kg of oil equivalent per capita)	EG.USE.PCAP.KG.OE																																								
#	Latin America & Caribbean	LCN	Population, total	SP.POP.TOTL																																								
#	Latin America & Caribbean	LCN	Energy use (kg of oil equivalent per capita)	EG.USE.PCAP.KG.OE																																								
#	Europe & Central Asia	ECS	Population, total	SP.POP.TOTL																																								
#	Europe & Central Asia	ECS	Energy use (kg of oil equivalent per capita)	EG.USE.PCAP.KG.OE																																								
#	East Asia & Pacific	EAS	Population, total	SP.POP.TOTL																																								
#	East Asia & Pacific	EAS	Energy use (kg of oil equivalent per capita)	EG.USE.PCAP.KG.OE
#	Australia	Population, total	SP.POP.TOTL	Australia	AUS	
#	Australia	Energy use (kg of oil equivalent per capita)	EG.USE.PCAP.KG.OE	Australia	AUS																																								
#	
### The data above was taken from http://databank.worldbank.org/data/reports.aspx?source=world-development-indicators#
### The data chosen was "population total" and "energy use per capita (kg Oil)". Then these two values are multiplied to get a total energy consumption in this area.
### Look at the metadata to define the areas
### Some small countries are missing, which is why the sum of the values doesn't perfectly fit to the world aggregate values (from 1990)
##### Note: Before 1990 there was no ECS (europe and central Asia) data. Therefore i calculated this from the world statistic and the numbers of the other areas. 
##### Note: There's a huge step for 1990 probably because Sowjet energy consumption wasn't known before by the world bank. Therefore just assumed??							
1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014
3762198347	3838924951	3914857611	3991430917	4066267984	4139151082	4211781677	4285609387	4361295248	4437690434	4515764583	4596813158	4678525765	4759982360	4843067309	4928822143	5016798785	5105701987	5194731380	5284886348	5372078249	5456141249	5541075501	5624840414	5709757338	5792568347	5875398158	5957237460	6038067278	6118075293	6197638117	6276824417.88287	6356259573.89893	6436346997.99137	6517020798.24397	6598421257.48499	6680423046.99093	6763745673.29553	6847214549.1102	6930656699.36223	7012843635.35782	7097400665.07723	7182860114.61008	7268986175.73916
1336.7089517953	1371.4003667354	1417.5402296049	1389.7573118542	1364.7254203948	1419.462299221	1443.4684698644	1474.689444772	1491.4384278133	1452.9324296325	1412.5752599647	1382.1303568272	1372.7401973527	1404.2354049486	1414.3906183966	1416.3888267285	1442.7171711048	1467.9802870807	1474.3909653998	1661.9733907874	1648.1876881604	1619.7889290306	1611.6721087018	1597.7644813144	1614.8853444147	1632.1024008482	1625.1945797619	1610.1618133985	1622.5746971745	1635.9754017092	1635.2389772141	1648.0105729456	1687.1918947351	1738.471470972	1765.6167972277	1795.0925025424	1822.4072124384	1827.9596299395	1794.3743484331	1872.5165568415	1879.3474493876	1890.2642031752	1892.9497829698	1919.5017223669
300361016	308419901	316788972	325493369	334551330	343972132	353755617	363892126	374378752	385201953	396361476	407857980	419683723	431834799	444300924	457078542	470171799	483582771	497327000	511410066	525853526	540652248	555771276	571168197	586808269	602697335	618872438	635394495	652354818	669818179	687543926	705929159.882872	724910083.898927	744542423.991372	764866591.243966	785905014.484987	807656829.990929	830111000.295534	853238652.110201	877023136.362228	901455755.357816	926548177.077234	952278631.610082	978625081.739162
665.0719362625	663.2779245206	673.9606246926	674.0265547496	675.0734171109	678.0647044076	677.6049461979	684.2813795188	683.9320533942	691.4267822944	707.0210152512	720.2563938911	713.5001212828	720.9432595973	714.9964025617	717.0618843618	721.4103365085	724.5532928247	706.358930463	691.6455190621	699.8977906754	674.1058203628	677.0331483817	668.1764986389	674.7153797148	677.2107093425	677.5040129771	667.9995211988	672.2679800196	650.5178516473	656.7042400503	650.4496900167	662.6001764705	675.8582592657	673.1502382445	666.5022329521	676.4779099286	691.8591852431	677.6249480802	681.0472166481	682.8970913905	681.5671331663	678.8793969013	683.245845931
729115720	745871099	763149474	780922591	799294145	818264619	837811015	857934480	878616424	899787611	921270524	943375098	965905841	988820543	1012080845	1035652813	1059520266	1083674191	1108116731	1132832536	1157821722	1183034707	1208411907	1233869424	1259358616	1284818746	1310234107	1335633730	1361053702	1386504523	1411993292	1437450586	1462776158	1487832276	1512521166	1536799012	1560689001	1584247163	1607562312	1630729920	1653756466	1676614288	1699306053	1721840539
253.7363925249	254.1866779687	256.4188742329	260.2857405714	263.451334281	266.8590069947	268.1754462323	266.5819211318	272.2929033381	273.4549155185	280.4183892737	285.0426265625	287.6681070277	291.8286669781	299.4099391564	303.3879698989	309.0678977917	318.4784720457	326.092451346	332.6509607136	337.9471034928	344.2012696063	346.8384080301	352.7136706166	365.1692811587	369.9930836367	376.7029479104	378.5490221221	392.3295148797	395.1919154156	394.7242421533	398.3836890205	402.6885767019	417.0886376801	426.2478564932	440.8731576302	457.9820016803	469.3794751383	503.1116083433	517.6828199458	530.5220426042	546.9573428737	552.0033586995	576.1308190299
229361135	231943831	234332208	236681487	239235000	241606200	244088400	246674600	249385800	251872670	254421050	256921449	259303930	261583423	263922898	266394382	268896849	271452347	274256841	277473326	281211703	285092192	288811320	292297226	295691746	299126029	302704697	306162843	309600485	312993944	316113359	319050105	321847258	324864038	327892753	331014940	334184023	337405012	340465736	343418591	346070702	348813722	351425360	354173159
7539.3502064823	7845.4515501817	8064.2809046235	7831.7212064517	7607.1487110234	8019.9455854409	8200.1476222673	8350.7307893488	8279.402182632	7928.772474565	7636.1247336515	7248.3124391706	7184.6363404925	7433.3153747032	7454.5993307209	7387.5107739443	7624.0643396234	7850.271078211	7894.6087498815	7664.8508979359	7616.4413185289	7665.8695080075	7711.5925543271	7774.6669591863	7783.8212642745	7863.5419083219	7848.9759228824	7815.588514805	7938.8177070949	8075.1193347493	7848.7995610706	7858.0968766354	7847.2633218763	7936.7035956353	7901.4732207668	7751.0390718136	7803.0013994859	7557.7715941732	7129.9299823943	7223.0893186234	7115.755830898	6954.6744350672	6985.0108275874	7048.8840382661
142950993	146887303	150999871	155259901	159722643	164407528	169318424	174493349	180000521	185843847	192015875	198499602	205229901	212102793	219095273	226161475	233285188	240367135	247283550	255989130	262659662	267020622	273204804	279279333	286917385	292934005	298982946	305001541	311053183	317129227	323196354	329289435	335522845	342046777	348956287	356287693	363996317	371999662	380192587	388376106	396573248	404782447	412950407	421022841
464.8817021065	461.5934068634	526.5105827059	548.8008620441	585.1369285948	633.8806690383	679.5547138003	724.5155894031	832.2523328991	882.7343868722	975.0050117162	1064.7142028307	1051.3338178736	1071.57463749	1099.7088439247	1112.5136977295	1157.6553851546	1206.8572989577	1262.9328532787	1187.1800502153	1219.8300854492	1284.0255997631	1336.0530597782	1391.7788226138	1449.5499245944	1450.7918655786	1503.8607772479	1496.5048376415	1520.836964376	1512.4709699199	1597.9893144075	1633.1135738846	1638.990350755	1713.9322694024	1801.7988646903	1876.9089698501	1928.009600817	2032.8093957441	2057.4824627829	2105.3605105917	2077.4860530237	2186.4013582686	2146.7853304732	2337.9242477369
